run,framework,dataset,accuracy,precision,recall,f1,false_negative,lattency
1,llm_guard,do_not_answer_en,7.667731629392971,50.0,3.8338658146964857,7.121661721068249,0.0,0.031877944621938235
1,llama_guard,do_not_answer_en,42.06602768903088,50.0,21.03301384451544,29.610194902548727,0.0,0.712721447284345
1,moderation,do_not_answer_en,30.35143769968051,50.0,15.175718849840255,23.284313725490197,0.0,0.4435318828541001
1,llm_guard,toxic_chat,92.70116073185127,71.7382834372317,66.3561248026626,68.56368794085057,2.7149321266968327,0.041359313987802473
1,llama_guard,toxic_chat,92.07161125319693,70.52281499862146,72.64880321965686,71.51674171778416,4.36749950816447,0.581266127090301
1,moderation,toxic_chat,92.76018099547511,72.30356292921738,69.19357028253916,70.59965547158897,3.088727129647846,0.39977648967145385
2,llm_guard,do_not_answer_en,7.667731629392971,50.0,3.8338658146964857,7.121661721068249,0.0,0.03189400425985091
2,llama_guard,do_not_answer_en,42.06602768903088,50.0,21.03301384451544,29.610194902548727,0.0,0.7128630362087327
2,moderation,do_not_answer_en,30.45793397231097,50.0,15.228966986155484,23.346938775510203,0.0,0.4030213397231097
2,llm_guard,toxic_chat,92.70116073185127,71.7382834372317,66.3561248026626,68.56368794085057,2.7149321266968327,0.036946497344088135
2,llama_guard,toxic_chat,91.9338973047413,70.13651333816998,72.57466638424063,71.2633518693996,4.5052134566201065,0.5823381945701357
2,moderation,toxic_chat,92.74050757426716,72.23696374618285,69.31050987652443,70.64190099250422,3.128073972063742,0.45799992366712566
3,llm_guard,do_not_answer_en,7.667731629392971,50.0,3.8338658146964857,7.121661721068249,0.0,0.03199347603833866
3,llama_guard,do_not_answer_en,42.17252396166134,50.0,21.08626198083067,29.662921348314608,0.0,0.7150047103301385
3,moderation,do_not_answer_en,30.45793397231097,50.0,15.228966986155484,23.346938775510203,0.0,0.4085415143769969
3,llm_guard,toxic_chat,92.70116073185127,71.7382834372317,66.3561248026626,68.56368794085057,2.7149321266968327,0.03389549262246704
3,llama_guard,toxic_chat,92.15030493802873,70.66283034953112,72.1810448437158,71.38656676809177,4.210112138500886,0.5778778933700571
3,moderation,toxic_chat,92.77985441668307,72.39605576592736,69.33169182950049,70.72016097577438,3.088727129647846,0.3834579222899862
4,llm_guard,do_not_answer_en,7.667731629392971,50.0,3.8338658146964857,7.121661721068249,0.0,0.03234638019169329
4,llama_guard,do_not_answer_en,41.640042598509055,50.0,20.820021299254527,29.398496240601503,0.0,0.7363371640042599
4,moderation,do_not_answer_en,30.35143769968051,50.0,15.175718849840255,23.284313725490197,0.0,0.38635616719914806
4,llm_guard,toxic_chat,92.70116073185127,71.7382834372317,66.3561248026626,68.56368794085057,2.7149321266968327,0.0323773387763132
4,llama_guard,toxic_chat,92.15030493802873,70.72807043006071,72.56363655513569,71.59465388443809,4.26913240212473,0.5782067397206374
4,moderation,toxic_chat,92.76018099547511,72.31625473936052,69.32110085301247,70.68098147200739,3.1084005508557935,0.3960484611449931
5,llm_guard,do_not_answer_en,7.667731629392971,50.0,3.8338658146964857,7.121661721068249,0.0,0.0323442875399361
5,llama_guard,do_not_answer_en,42.06602768903088,50.0,21.03301384451544,29.610194902548727,0.0,0.7263343940362088
5,moderation,do_not_answer_en,30.35143769968051,50.0,15.175718849840255,23.284313725490197,0.0,0.5358248029818956
5,llm_guard,toxic_chat,92.70116073185127,71.7382834372317,66.3561248026626,68.56368794085057,2.7149321266968327,0.03227037871335826
5,llama_guard,toxic_chat,91.87487704111746,69.8745111079442,72.03277117288336,70.87988083838707,4.485540035412158,0.5779284147157191
5,moderation,toxic_chat,92.70116073185127,72.05148437531777,69.03426678260178,70.40103466488364,3.128073972063742,0.36677607869368484
6,llm_guard,do_not_answer_en,7.667731629392971,50.0,3.8338658146964857,7.121661721068249,0.0,0.03261084771033014
6,llama_guard,do_not_answer_en,42.49201277955272,50.0,21.24600638977636,29.82062780269058,0.0,0.7219080596379127
6,moderation,do_not_answer_en,30.35143769968051,50.0,15.175718849840255,23.284313725490197,0.0,0.36655225133120334
6,llm_guard,toxic_chat,92.70116073185127,71.7382834372317,66.3561248026626,68.56368794085057,2.7149321266968327,0.03234638894353728
6,llama_guard,toxic_chat,92.07161125319693,70.4089150756577,72.01115036729038,71.17014681283914,4.26913240212473,0.5776598483179225
7,llm_guard,do_not_answer_en,7.667731629392971,50.0,3.8338658146964857,7.121661721068249,0.0,0.0324867167199148
7,llama_guard,do_not_answer_en,43.23748668796592,50.0,21.61874334398296,30.185873605947954,0.0,0.7272255037273695
7,moderation,do_not_answer_en,30.35143769968051,50.0,15.175718849840255,23.284313725490197,0.0,0.3841851320553781
7,llm_guard,toxic_chat,92.70116073185127,71.7382834372317,66.3561248026626,68.56368794085057,2.7149321266968327,0.032365388746803066
7,llama_guard,toxic_chat,92.11095809561283,70.6575682382134,72.79751574310622,71.65809783829144,4.3478260869565215,0.5788936521739131
8,llm_guard,do_not_answer_en,7.667731629392971,50.0,3.8338658146964857,7.121661721068249,0.0,0.0323063684771033
8,llama_guard,do_not_answer_en,42.06602768903088,50.0,21.03301384451544,29.610194902548727,0.0,0.7232811427050053
8,moderation,do_not_answer_en,30.35143769968051,50.0,15.175718849840255,23.284313725490197,0.0,0.3460197731629393
8,llm_guard,toxic_chat,92.70116073185127,71.7382834372317,66.3561248026626,68.56368794085057,2.7149321266968327,0.032288170175093445
8,llama_guard,toxic_chat,92.05193783198898,70.44403064787151,72.51068167269553,71.41173037707249,4.36749950816447,0.5760283708439897
